status,approach,model_slug,device_profile,prompt_strategy,seed,entity_type,tp,fp,fn,precision,recall,f1
completed,llm_http,gemma-3-12b-it,gpu,one-shot,2401,QUANTITY,7,19,29,0.2692307692307692,0.19444444444444445,0.22580645161290322
completed,llm_http,gemma-3-12b-it,gpu,one-shot,2401,TIME,0,20,4,0.0,0.0,0.0
completed,llm_http,gemma-3-12b-it,gpu,one-shot,2401,TITLE,6,52,147,0.10344827586206896,0.0392156862745098,0.05687203791469194
completed,llm_http,gemma-3-12b-it,gpu,one-shot,2401,WORK_OF_ART,34,89,124,0.2764227642276423,0.21518987341772153,0.24199288256227758
completed,llm_http,gemma-3-12b-it,gpu,one-shot,42,CARDINAL,59,141,181,0.295,0.24583333333333332,0.2681818181818182
completed,llm_http,gemma-3-12b-it,gpu,one-shot,42,DATE,44,373,299,0.10551558752997602,0.1282798833819242,0.11578947368421051
completed,llm_http,gemma-3-12b-it,gpu,one-shot,42,EVENT,0,60,95,0.0,0.0,0.0
completed,llm_http,gemma-3-12b-it,gpu,one-shot,42,FAC,0,29,46,0.0,0.0,0.0
completed,llm_http,gemma-3-12b-it,gpu,one-shot,42,GPE,240,592,326,0.28846153846153844,0.42402826855123676,0.34334763948497854
completed,llm_http,gemma-3-12b-it,gpu,one-shot,42,LANGUAGE,8,6,21,0.5714285714285714,0.27586206896551724,0.37209302325581395
completed,llm_http,gemma-3-12b-it,gpu,one-shot,42,LAW,0,6,6,0.0,0.0,0.0
completed,llm_http,gemma-3-12b-it,gpu,one-shot,42,LOC,2,40,48,0.047619047619047616,0.04,0.043478260869565216
completed,llm_http,gemma-3-12b-it,gpu,one-shot,42,MONEY,0,3,5,0.0,0.0,0.0
completed,llm_http,gemma-3-12b-it,gpu,one-shot,42,NORP,18,22,194,0.45,0.08490566037735849,0.14285714285714285
completed,llm_http,gemma-3-12b-it,gpu,one-shot,42,ORDINAL,15,45,89,0.25,0.14423076923076922,0.18292682926829268
